0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:39:12 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:39:24 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:41:30 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:41:31 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:41:42 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:41:47 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:41:51 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:42:11 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:42:13 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 44447
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:44:42 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 77191
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:44:45 -0800] "GET /TESCWeather/WeatherReading?id= HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:45:57 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61864
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:45:58 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:02 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2009-03-08 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:05 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:27 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:29 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:31 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:39 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:43 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:47 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 63488
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:48 -0800] "GET /TESCWeather/WeatherReading/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:46:56 -0800] "GET /TESCWeather/WeatherReading/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:47:29 -0800] "GET /TESCWeather/WeatherReading/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:47:30 -0800] "GET /TESCWeather/WeatherReading/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:47:32 -0800] "GET /TESCWeather/WeatherReading/Missing/MissingDetail?date=2008-03-20 HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:47:44 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61864
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:47:46 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2009-11-28 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:04 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2009-03-08 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:08 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2011-09-09 HTTP/1.1" 200 9373
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:15 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2008-03-20 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:18 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-27 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:55 -0800] "GET /TESCWeather/WeatherReading/Missing/Detail?date=2009-11-28 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:57 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61399
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:48:58 -0800] "GET /TESCWeather/WeatherReading/Missing/Date?date=2008-03-20 HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:14 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61632
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:15 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:24 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:25 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61632
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:28 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-28 HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:40 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2011-11-25 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:49:55 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:50:01 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61632
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:50:06 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2013-02-28 HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:50:33 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2013-02-28 HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:51:01 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:51:02 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 61632
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:55:22 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:55:58 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:56:01 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-29 HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:56:31 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2009-11-29 HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:28 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2013-02-28 HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:30 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:32 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:50 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:51 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:53 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:53 -0800] "GET /TESCWeather/WeatherReadings/Missing/Date?date=2008-03-20 HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:54 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:56 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:57:58 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:01 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:13 -0800] "GET /TESCWeather/WeatherReadings/Missing/Detail?date='2008-03-20' HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:23 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:26 -0800] "GET /TESCWeather/WeatherReading?id=72490 HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:37 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:48 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:58:53 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:19 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:20 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:36 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:38 -0800] "GET /TESCWeather/Summary HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:51 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:52 -0800] "GET /TESCWeather/WeatherReadings/Missing HTTP/1.1" 200 60014
0:0:0:0:0:0:0:1 - - [10/Dec/2016:11:59:59 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:05:58 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:06:02 -0800] "GET /TESCWeather/WeatherReadings/Date?date=qwerqwerw HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:12 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:28 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016/12/03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:42 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:43 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:46 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMin HTTP/1.1" 200 12619
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:50 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:51 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:53 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMin HTTP/1.1" 200 12619
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:55 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:56 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:07:57 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMax HTTP/1.1" 200 12595
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:17 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:19 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:23 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMax HTTP/1.1" 200 12595
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:26 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:27 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:08:29 -0800] "GET /TESCWeather/WeatherReadings/Measure/Wind HTTP/1.1" 200 12589
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:25 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:26 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:36 -0800] "GET /TESCWeather/WeatherReadings/Measure/Rain HTTP/1.1" 200 12590
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:40 -0800] "GET /TESCWeather/WeatherReadings/Measure/Wind HTTP/1.1" 200 12589
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:45 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016/12/03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:09:50 -0800] "GET /TESCWeather/WeatherReadings/Date?date=2016-12-03 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:10:01 -0800] "GET /TESCWeather/ HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:10:02 -0800] "GET /TESCWeather/Search HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [10/Dec/2016:12:10:03 -0800] "GET /TESCWeather/WeatherReadings/Measure/TempMin HTTP/1.1" 200 12619
